date,total,Android Browser,C iOS,C Plus,Dolfin,IE 6,IE 7,IE 8,IE 9,IE 10,IE 11,FF 2,FF 3,FF 4,FF 5,FF 6,FF 7,FF 8,FF 9,FF 10,FF 11,FF 12,FF 13,FF 14,FF 15,FF 16,FF 17,FF,Mozilla 1,C,C,C Mail.ru,S Mobile,Nokia Browser,O Blink,O 10,O 11,O 12,O 15,O 9,O Mini,O Mobile,O Next,Others,S 1,S 2,S 4,S 5,S 6,S 7,UCWEB,iOS Browser,Yandex.Browser,C Yandex
Sep  2012,98.14,,,,,,1.65,4.83,5.71,,,,,,,,,,,0.58,0.56,1.18,0.64,3.05,7.91,,,2.06,3.87,,22.16,2.25,,,,0.73,3.54,12.11,,,12.61,,,2.36,,,5.14,3.39,0.54,,,,,1.27
Oct  2012,97.69,,,,,,1.58,4.74,5.8,,,,,,,,,,,0.51,,1.02,,1.13,6.24,4.18,,1.98,4.15,,22.39,2.19,,,,0.66,2.85,12.46,,,12.79,,,2.2,,,5.52,2.53,1.34,,,,1.43,
Nov  2012,97.45,,,,,,1.53,4.47,5.84,,,,,,,,,,,,,0.9,,0.73,1.02,9.54,,2.34,4.41,,22.89,2.25,,,,0.59,2.46,12.86,,,11.61,,,2.14,,,6.13,2.37,1.65,,,,1.72,
Dec  2012,97.86,,,,,,1.4,4.07,5.69,,,,,,,,,,,,,0.81,,0.58,0.55,2.71,7.25,2.52,4.95,,23.08,2.31,,,,0.51,2.14,12.67,,,11.23,,,2.13,,,6.81,2.24,1.84,,,,2.37,
Jan  2013,98.05,,,,,,1.25,3.66,5.55,,,,,,,,,,,,,,,,,,,14.45,5.4,,23.19,2.38,,,,,1.74,11.99,,,10.97,0.55,,2.14,,,7.84,2.11,2.15,,,,2.68,
Feb  2013,98.09,,,,,,1.19,3.6,5.47,,,,,,,,,,,,,,,,,,,14.16,5.74,,23.44,2.54,,,,,1.44,11.4,,,10.57,1.01,,2.11,,,8.16,1.91,2.47,,,,2.88,
Mar  2013,98.59,,,,,,1.08,3.27,5.03,0.78,,,,,,,,,,,,,,,,,,13.68,5.99,,23.75,2.71,,,,,1.23,11.23,,,10.45,1,,2.06,,,8.82,1.8,2.66,,,,3.05,
Apr  2013,98.63,,,,,,1,3.18,4.11,1.69,,,,,,,,,,,,,,,,,,13.35,6.16,,24.17,2.75,,,,,1.02,11.01,,,10.19,0.99,,1.97,,,9.28,1.7,2.75,,,,3.31,
May  2013,98.69,,,,,,0.9,2.79,3.25,2.36,,,,,,,,,,,,,,,,,,12.66,6.67,,24.22,2.79,,,,,0.91,10.63,,,10.22,0.96,,2.06,,,10.09,1.68,2.92,,,,3.58,
Jun  2013,98.75,,,,,,0.84,2.66,2.48,3.14,,,,,,,,,,,,,,,,,,12.28,6.95,,24.38,2.85,,,,,0.84,10.23,,,10.11,0.85,,2.07,,,10.65,1.63,3.04,,,,3.75,
Jul  2013,98.45,,,,,,0.86,2.6,2,3.66,,,,,,,,,,,,,,,,,,11.87,7.28,,24.11,2.79,,,,,0.77,9.63,,,9.89,0.82,,2.07,,,11.57,1.58,3.14,,,,3.81,
Aug  2013,98.64,,,,,,0.75,2.4,1.86,3.74,,,,,,,,,,,,,,,,,,11.38,7.54,,23.94,2.82,,,,,0.71,9.04,0.72,,9.59,0.81,,2.1,,,12.5,1.52,3.18,,,,4.04,
Sep  2013,98.56,,,,,,0.72,2.3,1.8,3.84,,,,,,,,,,,,,,,,,,11.05,7.45,,24.17,2.75,,,,,0.67,8.44,,,8.91,0.75,1.11,2.18,,,13.23,1.44,2.83,0.58,,,4.34,
Oct  2013,98.87,,,,,,0.69,2.26,1.72,3.97,,,,,,,,,,,,,,,,,,10.77,7.33,,24.36,2.7,,,,,0.63,7.84,,,8.44,0.7,1.84,2.42,,,13.7,1.39,1.74,1.8,,,4.57,
Nov  2013,98.62,10,0.51,,,,0.63,2.07,1.58,3.68,,,,,,,,,,,,,,,,,,10.75,2.24,,24.51,2.85,,1,,,0.58,7.2,,,8.1,0.66,2.32,2.21,,,4.39,1.46,1.39,2.14,,3.61,4.74,
Dec  2013,99.35,14.81,0.52,,0.51,,0.55,1.94,1.49,2.25,1.93,,,,,,,,,,,,,,,,,10.65,,,24.69,2.95,5.39,1.79,,,0.53,6.63,,,7.73,0.63,2.74,2.07,,,,1.21,1.22,2.2,,,4.92,
Jan  2014,97.05,16.07,0.56,,,,,1.72,1.4,2.02,2.2,,,,,,,,,,,,,,,,,10.13,,,24.32,2.94,10.07,1.74,,,,6.01,,,7.26,0.59,3.09,1.84,,,,,,,,,5.09,
Feb  2014,97.58,16.29,0.59,,,,,1.76,1.38,2.02,2.27,,,,,,,,,,,,,,,,,10.34,,,24.17,2.92,10.34,1.65,3.38,,,5.6,,,6.87,0.56,,1.69,,,,0.51,,,,,5.24,
Mar  2014,97.66,16.75,0.6,,,,,1.58,1.32,1.98,2.26,,,,,,,,,,,,,,,,,10,,,24.13,2.91,11.05,1.61,3.62,,,5.26,,,6.61,0.54,,1.61,,,,0.55,,,,,5.28,
Apr  2014,97.71,17.05,0.61,,,,,1.57,1.29,1.99,2.32,,,,,,,,,,,,,,,,,9.81,,,24.69,2.75,11.17,1.53,3.86,,,4.98,,,6.36,0.52,,1.43,,,,0.55,,,,,5.23,
May  2014,97.76,17.84,0.73,,,,,1.4,1.16,1.96,2.31,,,,,,,,,,,,,,,,,9.56,,,24.94,2.55,11.43,1.47,4.03,,,4.61,,,6.17,0.51,,1.35,,,,0.58,,,,,5.16,
