date,Android Browser,Android Browser 2,C 1,C 2,C 3,C 4,С 5,С 6,С 7,С 8,С 9,C 10,C 11,C 12,C 13,C 14,C 15,C 16,C,FF 1,FF 2,FF 3,FF 4,FF 5,FF 6,FF 7,FF 8,FF 9,FF,Mozilla,IE Mobile,IE 6,IE 7,IE 8,IE 9,IE,O 10,O 11,O 9,O,O Mini 3,O Mini 4,O Mini 5,O Mini 6,O Mini,O Mobile,S 525,S 530,S 531,S 533,S 534,S 6533,S 7534,S,UCWEB,WebKit
May  2012,0.98,,,,,,,,,,,,,,,,,,26.27,,,,,,,,,,20.67,1.15,,,,,,23.22,,,,19.77,,,,,3.82,,,,,,,,,3.6,,
Jun  2012,1.08,,,,,,,,,,,,,,,,,,26.87,,,,,,,,,,20.4,1.22,,,,,,23.24,,,,19.26,,,,,3.8,,,,,,,,,3.79,,
Jul  2012,1.17,,,,,,,,,,,,,,,,,,27.53,,,,,,,,,,20,1.29,,,,,,23.53,,,,18.53,,,,,3.68,,,,,,,,,3.85,,
Aug  2012,1.28,,,,,,,,,,,,,,,,,,28.12,,,,,,,,,,19.6,1.34,,,,,,23.14,,,,18.06,,,,,3.74,,,,,,,,,4.02,,
Sep  2012,1.42,,,,,,,,,,,,,,,,,,31.08,,,,,,,,,,20.56,1.78,,,,,,16.87,,,,19.26,,,,,3.95,,,,,,,,,4.46,,
Oct  2012,1.44,,,,,,,,,,,,,,,,,,32.27,,,,,,,,,,20.3,1.41,,,,,,16.25,,,,19.03,,,,,4.15,,,,,,,,,4.47,,
Nov  2012,1.49,,,,,,,,,,,,,,,,,,33.55,,,,,,,,,,19.94,0.76,,,,,,15.63,,,,18.87,,,,,3.89,,,,,,,,,4.61,,
Dec  2012,1.53,,,,,,,,,,,,,,,,,,35.15,,,,,,,,,,19.45,0.53,,,,,,15,,,,18.45,,,,,3.8,,,,,,,,,4.78,,
Jan  2013,1.65,,,,,,,,,,,,,,,,,,36.14,,,,,,,,,,19.09,,,,,,,14.32,,,,18.06,,,,,3.69,,,,,,,,,5.23,,
Feb  2013,1.67,,,,,,,,,,,,,,,,,,36.34,,,,,,,,,,18.87,,,,,,,14.5,,,,17.65,,,,,3.64,,,,,,,,,5.41,,
Mar  2013,1.79,,,,,,,,,,,,,,,,,,37.32,,,,,,,,,,18.41,,,,,,,13.88,,,,17.28,,,,,3.61,,,,,,,,,5.7,,
Apr  2013,1.89,,,,,,,,,,,,,,,,,,38.03,,,,,,,,,,18.1,,,,,,,13.94,,,,16.55,,,,,3.6,,,,,,,,,5.77,,0.51
May  2013,2.04,,,,,,,,,,,,,,,,,,39.16,,,,,,,,,,17.6,,,,,,,13.09,,,,16.1,,,,,3.73,,,,,,,,,6.06,,0.56
Jun  2013,2.04,,,,,,,,,,,,,,,,,,39.82,,,,,,,,,,17.47,,,,,,,13.16,,,,15.76,,,,,3.5,,,,,,,,,6.17,,0.58
Jul  2013,2.08,,,,,,,,,,,,,,,,,,40.06,,,,,,,,,,17.35,,,,,,,13.62,,,,15.04,,,,,3.44,,,,,,,,,6.31,,0.59
Aug  2013,2.65,,,,,,,,,,,,,,,,,,40.73,,,,,,,,,,16.88,,,,,,,13.19,,,,14.61,,,,,3.47,,,,,,,,,6.27,,0.66
Sep  2013,3.59,,,,,,,,,,,,,,,,,,40.88,,,,,,,,,,16.45,,,,,,,12.88,,,,15.02,,,,,3.33,0.54,,,,,,,,5.57,,0.69
Oct  2013,3.67,,,,,,,,,,,,,,,,,,41.27,,,,,,,,,,16.17,,,,,,,12.71,,,,14.96,,,,,3.36,0.53,,,,,,,,5.65,,0.67
Nov  2013,3.8,,,,,,,,,,,,,,,,,,42.06,,,,,,,,,,15.7,,,,,,,12.18,,,,14.86,,,,,3.36,0.54,,,,,,,,5.9,,0.59
Dec  2013,3.97,,,,,,,,,,,,,,,,,,42.65,,,,,,,,,,15.3,,,,,,,11.98,,,,14.55,,,,,3.32,0.53,,,,,,,,6.17,,0.55
Jan  2014,4.31,,,,,,,,,,,,,,,,,,43.01,,,,,,,,,,14.79,,,,,,,11.34,,,,14.4,,,,,3.28,0.53,,,,,,,,6.52,,0.6
Feb  2014,4.32,,,,,,,,,,,,,,,,,,42.74,,,,,,,,,,14.86,,,,,,,11.86,,,,14.15,,,,,3.17,0.51,,,,,,,,6.51,,0.68
Mar  2014,4.49,,,,,,,,,,,,,,,,,,42.86,,,,,,,,,,14.71,,,,,,,11.65,,,,13.94,,,,,3.08,0.52,,,,,,,,6.83,,0.76
Apr  2014,4.48,,,,,,,,,,,,,,,,,,43.24,,,,,,,,,,14.57,,,,,,,11.6,,,,13.83,,,,,3.01,,,,,,,,,6.87,,0.72
May  2014,4.57,,,,,,,,,,,,,,,,,,44.24,,,,,,,,,,14.33,,,,,,,10.84,,,,13.52,,,,,2.95,0.51,,,,,,,,7.13,,0.71
Jun  2014,4.6,,,,,,,,,,,,,,,,,,44.4,,,,,,,,,,14.41,,,,,,,10.6,,,,13.38,,,,,2.96,0.51,,,,,,,,7.18,,0.69
Jul  2014,4.74,,,,,,,,,,,,,,,,,,44.28,,,,,,,,,,14.29,,,,,,,10.67,,,,13.09,,,,,2.85,,,,,,,,,7.54,,0.78
Aug  2014,4.95,,,,,,,,,,,,,,,,,,44.7,,,,,,,,,,13.96,,,,,,,10.3,,,,12.9,,,,,2.77,0.52,,,,,,,,7.73,,0.85
Sep  2014,5.09,,,,,,,,,,,,,,,,,,45.09,,,,,,,,,,13.3,,0.54,,,,,10.27,,,,12.76,,,,,2.73,0.53,,,,,,,,8.01,,0.8
Oct  2014,5.06,,,,,,,,,,,,,,,,,,45.85,,,,,,,,,,13.04,,0.56,,,,,10.04,,,,12.76,,,,,2.59,0.53,,,,,,,,8.06,,0.8
Nov  2014,5.05,,,,,,,,,,,,,,,,,,46.62,,,,,,,,,,12.67,,0.57,,,,,9.35,,,,12.49,,,,,2.53,0.53,,,,,,,,8.55,0.54,0.83
Dec  2014,4.98,,,,,,,,,,,,,,,,,,47.25,,,,,,,,,,12.47,,0.59,,,,,9.25,,,,12.01,,,,,2.46,0.52,,,,,,,,8.75,0.63,0.81
Jan  2015,5.86,,,,,,,,,,,,,,,,,,47.62,,,,,,,,,,11.09,,0.7,,,,,6.96,,,,12.11,,,,,2.68,0.61,,,,,,,,10.4,0.81,0.81
Feb  2015,4.31,,,,,,,,,,,,,,,,,,47.38,,,,,,,,,,12.87,,0.54,,,,,10.08,,,,11.92,,,,,1.92,,,,,,,,,8.67,0.67,0.85
Mar  2015,4.87,,,,,,,,,,,,,,,,,,48.73,,,,,,,,,,11.95,,0.7,,,,,8.54,,,,11.71,,,,,2.14,0.53,,,,,,,,8.55,0.8,1.05
Apr  2015,4.64,,,,,,,,,,,,,,,,,,49.43,,,,,,,,,,12.02,,0.7,,,,,8.5,,,,11.71,,,,,2.05,0.51,,,,,,,,8.33,0.76,0.9
May  2015,4.57,,,,,,,,,,,,,,,,,,50.04,,,,,,,,,,11.79,,0.74,,,,,8.13,,,,11.38,,,,,2.14,0.56,,,,,,,,8.56,0.8,0.94
Jun  2015,4.45,,,,,,,,,,,,,,,,,,50.62,,,,,,,,,,11.8,,0.77,,,,,8.34,,,,10.7,,,,,2.13,0.58,,,,,,,,8.57,0.83,0.95
